method,num_seeds,Evaluation/fixed_outer_reward_mean,Evaluation/fixed_outer_reward_sd,mean_episode_length_mean,mean_episode_length_sd,Evaluation/command_success_mean,Evaluation/command_success_sd,Diagnostics/yaw_cmd_signed_success_rate_mean,Diagnostics/yaw_cmd_signed_success_rate_sd,Diagnostics/lin_cmd_success_rate_mean,Diagnostics/lin_cmd_success_rate_sd,Evaluation/termination_rate_mean,Evaluation/termination_rate_sd,Evaluation/action_saturation_rate_mean,Evaluation/action_saturation_rate_sd,Diagnostics/planar_position_error_mean,Diagnostics/planar_position_error_sd
Outer-only PPO,3,1.5410737408807984,0.00813361114695739,1125.8322416737642,44.59387569215727,0.1538993778935185,0.012122150706040004,0.14436188386011592,0.007332292744785088,0.07389899141845052,0.008692245842232,0.0006882957175925927,2.832287608572318e-05,0.43208804529574185,0.001039221059289364,3.791631286771088,0.08348489488626165
YAW,3,1.5660380121403268,0.007112552804333387,2839.3445190332072,31.445452600853883,0.1671950954861111,0.013506003126104024,0.3328441643514843,0.008077174332627888,0.06342848867820404,0.003266342131438593,0.00013057002314814816,3.132325679197193e-06,0.0044857977620806734,0.00020382002897252518,4.705056883685541,0.2657062612389847
Uniform,3,1.570471259797061,0.002154007065635978,2677.860990925306,33.215437353091225,0.1749320023148148,0.008439742425390468,0.29520833726601536,0.012013913864189835,0.061523409387122634,0.0046311782014480845,0.00014720775462962962,9.48013774745453e-06,0.08018693576394408,0.002442122797234069,4.919002426743025,0.05580241211930998
Static,3,1.576073853213478,0.007498122577562259,2618.9763122983527,67.20085973983397,0.16411711516203703,0.004543658346182783,0.40149951367759734,0.015498829038772236,0.06499507792043947,0.004408157616359174,0.0001587818287037037,1.661018880672024e-05,0.11447464826844495,0.0010446256228575541,4.710723182584711,0.2274252645715585
PPO-LIRPG,3,1.4784606599586982,0.008984525000211501,1555.2312580302776,150.64312316683694,0.05728009259259259,0.0029809475068021574,0.14933899696640396,0.004645059149041476,0.06326202883423927,0.0012468844249448553,0.0004054542824074074,4.925227303441325e-05,0.2831039112709739,0.00027813415854951215,4.222669756933659,0.2874254073838197
ReLara-PPO,3,1.4858884534184578,0.006358734666900631,863.064494547871,114.48148361978535,0.10950231481481482,0.0032402823189545548,0.12503014873019075,0.0031242301555050853,0.06636980022402927,0.0037048115403431137,0.0008803530092592592,0.00015277659611614253,0.3305592423875782,0.012907774317511223,4.014475486652658,0.050673398063724166
