group,raw_final100_mean,raw_final100_seed_sd,effective_final100_mean,raw_observed_min,raw_observed_max
Stability,1.3532122814655303,0.07656823690453997,1.3533992993831634,0.6364820003509521,1.399999976158142
Contact / slip,0.6761024965842565,0.06837333991526012,0.6763309554258983,0.6000000238418579,1.3882917165756226
Linear motion,0.9421865566571553,0.28496837557594334,0.9412907562653223,0.6000000238418579,1.3996665477752686
Yaw tracking,0.67346504509449,0.06675696086820326,0.6737580768267314,0.6000003814697266,1.3685424327850342
Regularization,1.3550338292121886,0.07633016027191529,1.355221036672592,0.6562719345092773,1.399999976158142
